_id,Date,Gender,Race,Age at Booking,Current Age
396,2017-07-01,M,W,34,34
397,2017-07-01,M,W,46,46
398,2017-07-01,M,W,40,40
399,2017-07-01,M,W,34,34
400,2017-07-01,M,W,56,56
401,2017-07-01,M,W,50,50
402,2017-07-01,M,W,27,27
403,2017-07-01,M,W,47,47
404,2017-07-01,M,W,33,34
405,2017-07-01,M,W,23,23
406,2017-07-01,M,B,23,23
407,2017-07-01,M,W,37,37
408,2017-07-01,M,W,35,35
409,2017-07-01,M,B,42,42
410,2017-07-01,M,B,24,24
411,2017-07-01,M,B,34,34
412,2017-07-01,M,W,57,57
413,2017-07-01,M,W,29,29
414,2017-07-01,M,W,30,30
415,2017-07-01,M,B,43,43
416,2017-07-01,M,B,28,30
417,2017-07-01,M,W,36,38
418,2017-07-01,M,B,19,20
419,2017-07-01,M,W,46,47
420,2017-07-01,M,W,27,28
421,2017-07-01,M,B,30,31
422,2017-07-01,M,B,22,23
423,2017-07-01,M,B,25,26
424,2017-07-01,M,B,33,34
425,2017-07-01,M,B,20,20
426,2017-07-01,M,B,29,30
427,2017-07-01,M,W,39,40
428,2017-07-01,M,W,49,50
429,2017-07-01,M,W,25,26
430,2017-07-01,M,B,20,20
431,2017-07-01,M,B,24,24
432,2017-07-01,M,B,23,24
433,2017-07-01,M,W,32,32
434,2017-07-01,M,W,35,36
435,2017-07-01,M,B,32,32
436,2017-07-01,M,B,19,19
437,2017-07-01,M,B,22,22
438,2017-07-01,M,B,25,25
439,2017-07-01,M,B,20,20
440,2017-07-01,M,W,33,34
441,2017-07-01,M,B,33,33
442,2017-07-01,M,B,58,58
443,2017-07-01,M,B,26,26
444,2017-07-01,M,B,23,24
445,2017-07-01,M,B,26,26
446,2017-07-01,M,W,69,69
447,2017-07-01,M,W,24,24
448,2017-07-01,M,B,23,23
449,2017-07-01,M,B,25,25
450,2017-07-01,M,W,39,39
451,2017-07-01,M,W,30,31
452,2017-07-01,M,B,21,21
453,2017-07-01,M,B,19,20
454,2017-07-01,M,W,29,29
455,2017-07-01,M,W,19,19
456,2017-07-01,M,B,29,29
457,2017-07-01,M,B,20,20
458,2017-07-01,M,B,48,48
459,2017-07-01,M,W,38,38
460,2017-07-01,M,B,36,36
461,2017-07-01,M,B,26,26
462,2017-07-01,M,W,58,58
463,2017-07-01,M,B,23,23
464,2017-07-01,M,B,26,26
465,2017-07-01,M,B,28,28
466,2017-07-01,M,B,58,58
467,2017-07-01,M,B,43,43
468,2017-07-01,M,B,29,29
469,2017-07-01,M,B,45,45
470,2017-07-01,M,W,51,51
471,2017-07-01,M,B,46,46
472,2017-07-01,M,W,26,26
473,2017-07-01,M,H,19,19
474,2017-07-01,M,B,69,69
475,2017-07-01,M,B,56,56
476,2017-07-01,M,B,20,20
477,2017-07-01,M,W,32,32
478,2017-07-01,M,B,39,39
479,2017-07-01,M,W,63,63
480,2017-07-01,M,W,48,48
481,2017-07-01,M,B,35,35
482,2017-07-01,M,B,56,56
483,2017-07-01,M,B,21,21
484,2017-07-01,M,W,41,41
485,2017-07-01,M,W,62,62
486,2017-07-01,M,B,27,27
487,2017-07-01,M,W,29,29
488,2017-07-01,M,W,38,38
489,2017-07-01,M,B,52,52
490,2017-07-01,M,B,19,19
491,2017-07-01,M,B,31,31
492,2017-07-01,M,W,55,55
493,2017-07-01,M,B,69,69
494,2017-07-01,M,W,71,71
495,2017-07-01,M,W,39,39
496,2017-07-01,M,B,35,35
497,2017-07-01,M,B,24,24
498,2017-07-01,M,W,41,41
499,2017-07-01,M,B,55,55
500,2017-07-01,M,B,25,25
501,2017-07-01,M,W,49,49
502,2017-07-01,M,B,23,23
503,2017-07-01,M,W,38,38
504,2017-07-01,M,B,41,41
505,2017-07-01,M,W,41,41
506,2017-07-01,M,W,34,34
507,2017-07-01,M,W,59,65
508,2017-07-01,M,W,31,32
509,2017-07-01,M,B,21,22
510,2017-07-01,M,B,40,41
511,2017-07-01,M,B,40,41
512,2017-07-01,M,B,22,23
513,2017-07-01,M,B,34,35
514,2017-07-01,M,W,23,24
515,2017-07-01,M,B,24,24
516,2017-07-01,M,B,20,21
517,2017-07-01,M,B,21,22
518,2017-07-01,M,B,28,29
519,2017-07-01,M,W,56,57
520,2017-07-01,M,W,25,26
521,2017-07-01,M,B,24,25
522,2017-07-01,M,B,25,25
523,2017-07-01,M,W,24,25
524,2017-07-01,M,B,25,25
525,2017-07-01,M,W,51,52
526,2017-07-01,M,B,54,55
527,2017-07-01,M,B,27,27
528,2017-07-01,M,B,19,19
529,2017-07-01,M,B,24,24
530,2017-07-01,M,B,30,31
531,2017-07-01,M,W,34,34
532,2017-07-01,M,B,26,26
533,2017-07-01,M,B,62,62
534,2017-07-01,M,W,30,30
535,2017-07-01,M,W,53,53
536,2017-07-01,M,W,29,29
537,2017-07-01,M,H,20,20
538,2017-07-01,M,B,18,19
539,2017-07-01,M,B,20,20
540,2017-07-01,M,W,43,43
541,2017-07-01,M,W,49,49
542,2017-07-01,M,B,44,45
543,2017-07-01,M,B,20,20
544,2017-07-01,M,B,49,49
545,2017-07-01,M,B,26,27
546,2017-07-01,M,B,23,23
547,2017-07-01,M,B,32,32
548,2017-07-01,M,B,34,35
549,2017-07-01,M,W,36,36
550,2017-07-01,M,B,25,25
551,2017-07-01,M,B,45,45
552,2017-07-01,M,B,26,26
553,2017-07-01,M,B,31,31
554,2017-07-01,M,B,29,29
555,2017-07-01,M,W,33,34
556,2017-07-01,M,W,51,51
557,2017-07-01,M,I,50,50
558,2017-07-01,M,B,20,20
559,2017-07-01,M,B,26,26
560,2017-07-01,M,W,30,30
561,2017-07-01,M,W,36,36
562,2017-07-01,M,B,58,58
563,2017-07-01,M,W,37,37
564,2017-07-01,M,W,18,18
565,2017-07-01,M,W,29,30
566,2017-07-01,M,W,44,44
567,2017-07-01,M,B,26,26
568,2017-07-01,M,W,34,34
569,2017-07-01,M,W,35,35
570,2017-07-01,M,B,36,36
571,2017-07-01,M,B,21,21
572,2017-07-01,M,B,28,28
573,2017-07-01,M,B,37,37
574,2017-07-01,M,x,35,35
575,2017-07-01,M,W,49,49
576,2017-07-01,M,W,59,59
577,2017-07-01,M,B,23,23
578,2017-07-01,M,W,32,32
579,2017-07-01,M,B,29,29
580,2017-07-01,M,W,43,43
581,2017-07-01,M,W,38,38
582,2017-07-01,M,W,39,39
583,2017-07-01,M,B,63,63
584,2017-07-01,M,B,42,42
585,2017-07-01,M,W,36,36
586,2017-07-01,M,W,24,24
587,2017-07-01,M,B,26,26
588,2017-07-01,M,W,37,37
589,2017-07-01,M,W,31,31
